fund_id,fund_name,manager,strategy,vintage_year,commitment,reported_at
F-1017,Belmont Real Estate Fund IV,Belmont Capital,Real Estate,2020,"$50,000,000 USD",2025-05-11
F-1018,Aldergrove Fund of Funds Fund VI,Aldergrove Capital,Fund of Funds,2015,"£750,000 GBP",2025-08-12
F-1019,Tidewater Private Credit Fund I,Tidewater Partners,Private Credit,2010,"$500,000 USD",2025-04-09
F-1020,Copperline Buyout Fund VIII,Copperline Group,Buyout,2021,"$750,000 USD",2025-09-02
F-1021,Fairhaven Growth Equity Fund IV,Fairhaven Ventures,Growth Equity,2017,,2025-05-04
F-1022,Ridgeline Infrastructure Fund VII,Ridgeline Holdings,Infrastructure,2025,"$7,500,000 USD",2025-11-09
F-1023,Wren Hollow Venture Capital Fund IX,Wren Hollow Capital,Venture Capital,2016,"$7,500,000 USD",2025-07-01
F-1024,Halcyon Secondaries Fund VI,Halcyon Group,Secondaries,2013,"$15,000,000 USD",2025-11-17
F-1025,Blackwater Growth Equity Fund XI,Blackwater Ventures,Growth Equity,2023,"$7,500,000 USD",2025-05-11
F-1026,Ashford Growth Equity Fund III,Ashford Management,Growth Equity,2010,"$50,000,000 USD",2026-03-13
F-1027,Longleaf Buyout Fund VI,Longleaf Holdings,Buyout,2020,1250000 USD,2025-12-05
F-1028,Northfield Infrastructure Fund XII,Northfield Capital,Infrastructure,2014,"$1,250,000 USD",2026-06-20
F-1029,Redstone Growth Equity Fund V,Redstone Advisors,Growth Equity,2022,500000 USD,2025-08-19
F-1030,Ironwood Real Estate Fund XII,Ironwood Ventures,Real Estate,2020,"$500,000",2025-04-11
F-1031,Harborview Real Estate Fund III,Harborview Equity,Real Estate,2011,"$3,000,000 USD",2026-08-27
F-1032,Stonebridge Growth Equity Fund V,Stonebridge Equity,Growth Equity,2015,"$1,250,000 USD",2025-04-14
F-1033,Brightwater Growth Equity Fund VII,Brightwater Equity,Growth Equity,2010,1250000 USD,2025-10-09
F-1034,Vantage Venture Capital Fund IV,Vantage Group,Venture Capital,2022,"$2,000,000 USD",2025-07-22
F-1035,Sable Creek Buyout Fund XI,Sable Creek Advisors,Buyout,2010,"$20,000,000 USD",2026-05-25
F-1036,Ridgeline Infrastructure Fund II,Ridgeline Holdings,Infrastructure,2016,"$10,000,000.25 USD",2026-06-04
F-1037,Dunmore Venture Capital Fund IV,Dunmore Advisors,Venture Capital,2009,"$3,000,000 usd",2026-08-08
F-1038,Fairhaven Fund of Funds Fund III,Fairhaven Ventures,Fund of Funds,2025,"$5,000,000.75 USD",2025-11-28
F-1039,Vesper Secondaries Fund I,Vesper Ventures,Secondaries,2021,"$1,250,000 USD",2026-04-26
F-1040,Dunmore Buyout Fund III,Dunmore Advisors,Buyout,2021,"$10,000,000 USD",2026-04-09
F-1041,Granite Peak Growth Equity Fund XI,Granite Peak Partners,Growth Equity,2020,"$25,000,000.50 USD",2025-07-15
F-1042,Marlowe Venture Capital Fund VI,Marlowe Ventures,Venture Capital,2008,"USD 1,500,000",2025-07-15
F-1043,Sable Creek Growth Equity Fund I,Sable Creek Advisors,Growth Equity,2025,"€40,000,000 EUR",2026-01-09
F-1044,Carrick Buyout Fund XII,Carrick Management,Buyout,2008,"¥300,000,000 JPY",2025-01-26
F-1045,Sycamore Infrastructure Fund VII,Sycamore Advisors,Infrastructure,2018,"$25,000,000 USD",2025-01-21
F-1046,Meridian Venture Capital Fund VIII,Meridian Equity,Venture Capital,2020,"$750,000.75 USD",2025-12-16
F-1047,Underwood Growth Equity Fund II,Underwood Partners,Growth Equity,2016,"$7,500,000 USD",2025-11-13
F-1048,Fairhaven Real Estate Fund I,Fairhaven Ventures,Real Estate,2023,"$750,000",2025-05-26
F-1049,Copperline Private Credit Fund VII,Copperline Group,Private Credit,2019,"$25,000,000 USD",2025-08-24
F-1050,Harborview Fund of Funds Fund VIII,Harborview Equity,Fund of Funds,2012,"€15,000,000 EUR",2025-08-08
F-1051,Harborview Buyout Fund XII,Harborview Equity,Buyout,2008,Not reported,2026-04-03
F-1052,Windrow Secondaries Fund X,Windrow Management,Secondaries,2018,"$20,000,000 USD",2025-02-08
F-1053,Orchard Hill Private Credit Fund III,Orchard Hill Group,Private Credit,2021,"$5,000,000 USD",2025-02-19
F-1054,Thornbury Growth Equity Fund XI,Thornbury Group,Growth Equity,2011,"$7,500,000 USD",2026-06-14
F-1055,Cardinal Buyout Fund II,Cardinal Partners,Buyout,2024,"$40,000,000 USD",2025-03-06
F-1056,Ridgeline Private Credit Fund IV,Ridgeline Holdings,Private Credit,2012,Not reported,2025-07-01
F-1057,Brightwater Venture Capital Fund V,Brightwater Equity,Venture Capital,2023,,2025-06-04
F-1058,Granite Peak Real Estate Fund X,Granite Peak Partners,Real Estate,2008,"$40,000,000",2025-02-28
F-1059,Silverthorn Secondaries Fund XII,Silverthorn Ventures,Secondaries,2025,"$40,000,000.25 USD",2025-10-21
F-1060,Granite Peak Venture Capital Fund XII,Granite Peak Partners,Venture Capital,2019,"$3,000,000 USD",2025-12-09
F-1061,Cardinal Buyout Fund VI,Cardinal Partners,Buyout,2008,"$50,000,000 USD",2026-03-26
F-1062,Yarrow Growth Equity Fund IX,Yarrow Equity,Growth Equity,2021,"$25,000,000 USD",2026-04-20
F-1063,Ridgeline Growth Equity Fund VI,Ridgeline Holdings,Growth Equity,2018,"¥75,000,000 JPY",2025-08-24
F-1064,Tidewater Infrastructure Fund XII,Tidewater Partners,Infrastructure,2025,"USD 1,250,000",2026-05-09
F-1065,Ridgeline Fund of Funds Fund I,Ridgeline Holdings,Fund of Funds,2010,"€2,500,000 EUR",2025-10-10
F-1066,Aldergrove Venture Capital Fund X,Aldergrove Capital,Venture Capital,2013,"$40,000,000 USD",2026-04-22
F-1067,Kestrel Buyout Fund I,Kestrel Equity,Buyout,2013,"$750,000 USD",2026-03-03
F-1068,Foxglove Infrastructure Fund VI,Foxglove Equity,Infrastructure,2008,"$20,000,000 USD",2025-07-14
F-1069,Ironwood Infrastructure Fund X,Ironwood Ventures,Infrastructure,2017,"$3,000,000 USD",2025-05-01
F-1070,Belmont Secondaries Fund XI,Belmont Capital,Secondaries,2021,"USD 25,000,000",2025-02-12
F-1071,Orchard Hill Venture Capital Fund V,Orchard Hill Group,Venture Capital,2013,"$1,500,000 USD",2026-01-22
F-1072,Meridian Secondaries Fund XI,Meridian Equity,Secondaries,2024,"$2,500,000.25 USD",2025-08-14
F-1073,Brightwater Real Estate Fund VII,Brightwater Equity,Real Estate,2019,"$12,500,000 USD",2026-08-06
F-1074,Vesper Infrastructure Fund I,Vesper Ventures,Infrastructure,2008,"€50,000,000 EUR",2025-03-19
F-1075,Fairhaven Buyout Fund VII,Fairhaven Ventures,Buyout,2016,Not reported,2025-09-07
F-1076,Aldergrove Growth Equity Fund I,Aldergrove Capital,Growth Equity,2011,"€2,000,000 EUR",2026-07-15
F-1077,Yarrow Secondaries Fund IV,Yarrow Equity,Secondaries,2024,"$50,000,000 USD",2025-06-14
F-1078,Halcyon Secondaries Fund VI,Halcyon Group,Secondaries,2022,,2026-08-26
F-1079,Vesper Fund of Funds Fund III,Vesper Ventures,Fund of Funds,2022,"$1,500,000.50 USD",2025-03-02
F-1080,Vantage Buyout Fund X,Vantage Group,Buyout,2018,"$10,000,000 USD",2026-06-07
F-1081,Windrow Infrastructure Fund II,Windrow Management,Infrastructure,2016,"$5,000,000.25 USD",2025-06-17
F-1082,Fenwick Secondaries Fund V,Fenwick Holdings,Secondaries,2020,"$25,000,000 usd",2025-07-20
F-1083,Brightwater Secondaries Fund VIII,Brightwater Equity,Secondaries,2013,"$1,500,000 USD",2026-06-01
F-1084,Belmont Fund of Funds Fund V,Belmont Capital,Fund of Funds,2017,"$750,000 USD",2025-12-17
F-1085,Sycamore Secondaries Fund IX,Sycamore Advisors,Secondaries,2023,"$2,000,000.75 USD",2025-04-18
F-1086,Underwood Fund of Funds Fund XI,Underwood Partners,Fund of Funds,2021,"$2,500,000 USD",2026-02-15
F-1087,Vesper Fund of Funds Fund VI,Vesper Ventures,Fund of Funds,2022,,2025-05-19
F-1088,Foxglove Growth Equity Fund XII,Foxglove Equity,Growth Equity,2021,"$3,000,000 USD",2025-07-13
F-1089,Kestrel Secondaries Fund II,Kestrel Equity,Secondaries,2012,"$2,500,000 USD",2025-11-06
F-1090,Vesper Secondaries Fund VIII,Vesper Ventures,Secondaries,2019,"$7,500,000 USD",2025-07-20
F-1091,Wren Hollow Buyout Fund II,Wren Hollow Capital,Buyout,2011,"$15,000,000 USD",2026-08-11
F-1092,Longleaf Private Credit Fund II,Longleaf Holdings,Private Credit,2009,"$2,000,000 USD",2025-10-04
F-1093,Belmont Private Credit Fund VI,Belmont Capital,Private Credit,2017,"$40,000,000 USD",2025-12-25
F-1094,Halcyon Infrastructure Fund X,Halcyon Group,Infrastructure,2010,"$2,000,000 USD",2025-05-13
F-1095,Quarry Lane Venture Capital Fund IV,Quarry Lane Holdings,Venture Capital,2018,"¥750,000,000 JPY",2025-07-21
F-1096,Ironwood Growth Equity Fund IX,Ironwood Ventures,Growth Equity,2011,"$2,000,000.25 USD",2025-08-15
F-1097,Fairhaven Real Estate Fund XI,Fairhaven Ventures,Real Estate,2018,"$10,000,000 USD",2026-04-19
F-1098,Brightwater Buyout Fund VIII,Brightwater Equity,Buyout,2010,"$7,500,000 USD",2025-10-26
F-1099,Silverthorn Real Estate Fund IV,Silverthorn Ventures,Real Estate,2012,"$20,000,000 USD",2026-01-09
F-1100,Yarrow Infrastructure Fund V,Yarrow Equity,Infrastructure,2024,"£3,000,000 GBP",2025-05-28
F-1101,Windrow Growth Equity Fund IV,Windrow Management,Growth Equity,2022,"USD 50,000,000",2025-08-12
F-1102,Ridgeline Growth Equity Fund V,Ridgeline Holdings,Growth Equity,2015,"$50,000,000 USD",2025-04-17
F-1103,Carrick Infrastructure Fund VIII,Carrick Management,Infrastructure,2009,"$250,000 USD",2025-10-22
F-1104,Marlowe Private Credit Fund V,Marlowe Ventures,Private Credit,2022,"$7,500,000.01 USD",2026-04-06
F-1105,Blackwater Fund of Funds Fund XI,Blackwater Ventures,Fund of Funds,2009,"$7,500,000 USD",2026-01-18
F-1106,Fairhaven Fund of Funds Fund X,Fairhaven Ventures,Fund of Funds,2014,"$15,000,000 USD",2025-08-06
F-1107,Kestrel Real Estate Fund IV,Kestrel Equity,Real Estate,2023,"$1,250,000 USD",2026-05-07
F-1108,Ellsworth Secondaries Fund XII,Ellsworth Group,Secondaries,2009,"$3,000,000 USD",2025-11-26
F-1109,Fenwick Venture Capital Fund X,Fenwick Holdings,Venture Capital,2016,15000000 USD,2026-04-27
F-1110,Yarrow Secondaries Fund VII,Yarrow Equity,Secondaries,2022,"$1,500,000 USD",2025-07-24
F-1111,Copperline Venture Capital Fund XII,Copperline Group,Venture Capital,2008,"$2,000,000 USD",2025-09-02
F-1112,Northfield Real Estate Fund VIII,Northfield Capital,Real Estate,2025,"$1,250,000 USD",2025-03-21
F-1113,Quarry Lane Real Estate Fund VIII,Quarry Lane Holdings,Real Estate,2022,"€25,000,000 EUR",2025-12-28
F-1114,Cardinal Venture Capital Fund XII,Cardinal Partners,Venture Capital,2017,"$750,000 USD",2026-04-05
F-1115,Halcyon Venture Capital Fund VIII,Halcyon Group,Venture Capital,2011,"$1,000,000 USD",2025-10-12
F-1116,Marlowe Buyout Fund IV,Marlowe Ventures,Buyout,2025,"$20,000,000 USD",2025-03-26
F-1117,Belmont Secondaries Fund II,Belmont Capital,Secondaries,2014,"$50,000,000 USD",2026-01-23
F-1118,Granite Peak Venture Capital Fund XII,Granite Peak Partners,Venture Capital,2019,"¥75,000,000 JPY",2025-12-27
F-1119,Redstone Fund of Funds Fund IX,Redstone Advisors,Fund of Funds,2020,"€50,000,000 EUR",2025-12-12
F-1120,Sable Creek Infrastructure Fund XI,Sable Creek Advisors,Infrastructure,2017,"£1,000,000 GBP",2025-12-01
F-1121,Thornbury Infrastructure Fund IX,Thornbury Group,Infrastructure,2009,"$40,000,000 USD",2026-05-18
F-1122,Ellsworth Secondaries Fund XII,Ellsworth Group,Secondaries,2017,"$25,000,000 USD",2025-05-16
F-1123,Silverthorn Venture Capital Fund IV,Silverthorn Ventures,Venture Capital,2023,"£5,000,000 GBP",2026-06-06
F-1124,Foxglove Real Estate Fund XI,Foxglove Equity,Real Estate,2017,"USD 40,000,000",2025-07-14
F-1125,Ridgeline Fund of Funds Fund XI,Ridgeline Holdings,Fund of Funds,2024,"£500,000 GBP",2025-07-10
F-1126,Underwood Venture Capital Fund X,Underwood Partners,Venture Capital,2019,"$1,250,000.01 USD",2025-06-18
F-1127,Marlowe Fund of Funds Fund VI,Marlowe Ventures,Fund of Funds,2022,"$5,000,000 USD",2025-04-17
F-1128,Brightwater Venture Capital Fund VII,Brightwater Equity,Venture Capital,2018,"$25,000,000 USD",2026-06-19
F-1129,Fenwick Fund of Funds Fund II,Fenwick Holdings,Fund of Funds,2024,"$40,000,000 USD",2026-03-21
F-1130,Wren Hollow Private Credit Fund IV,Wren Hollow Capital,Private Credit,2021,"$2,500,000 USD",2026-05-02
F-1131,Sable Creek Fund of Funds Fund VII,Sable Creek Advisors,Fund of Funds,2021,"$3,000,000 USD",2025-02-16
F-1132,Ridgeline Infrastructure Fund VII,Ridgeline Holdings,Infrastructure,2023,"$1,500,000 USD",2026-01-18
F-1133,Blackwater Secondaries Fund IX,Blackwater Ventures,Secondaries,2021,"$1,500,000 USD",2025-03-07
F-1134,Ashford Infrastructure Fund XII,Ashford Management,Infrastructure,2024,,2025-03-21
F-1135,Ridgeline Secondaries Fund VIII,Ridgeline Holdings,Secondaries,2025,Undisclosed,2026-08-09
F-1136,Sable Creek Venture Capital Fund XII,Sable Creek Advisors,Venture Capital,2025,"$12,500,000 USD",2026-02-28
F-1137,Sycamore Venture Capital Fund VIII,Sycamore Advisors,Venture Capital,2022,"$250,000.01 USD",2025-10-16
F-1138,Vesper Fund of Funds Fund VII,Vesper Ventures,Fund of Funds,2023,"$1,000,000 USD",2026-08-15
F-1139,Aldergrove Infrastructure Fund XII,Aldergrove Capital,Infrastructure,2024,"$5,000,000 USD",2025-02-17
F-1140,Yarrow Fund of Funds Fund VII,Yarrow Equity,Fund of Funds,2011,"$50,000,000 USD",2026-02-18
F-1141,Halcyon Real Estate Fund IV,Halcyon Group,Real Estate,2016,"$2,500,000 USD",2025-11-17
F-1142,Ashford Private Credit Fund IV,Ashford Management,Private Credit,2020,"$2,000,000 USD",2025-08-26
F-1143,Ironwood Infrastructure Fund IV,Ironwood Ventures,Infrastructure,2025,"$50,000,000 USD",2026-01-12
F-1144,Stonebridge Secondaries Fund VII,Stonebridge Equity,Secondaries,2024,"$12,500,000.50 USD",2025-05-17
F-1145,Windrow Fund of Funds Fund V,Windrow Management,Fund of Funds,2024,"$1,000,000.01 USD",2025-12-21
F-1146,Kestrel Growth Equity Fund IX,Kestrel Equity,Growth Equity,2016,"$3,000,000 USD",2026-07-18
F-1147,Brightwater Real Estate Fund XI,Brightwater Equity,Real Estate,2024,"$250,000 USD",2026-07-06
F-1148,Pinehurst Infrastructure Fund VI,Pinehurst Advisors,Infrastructure,2017,"USD 1,000,000",2026-03-15
F-1149,Foxglove Fund of Funds Fund V,Foxglove Equity,Fund of Funds,2016,"$25,000,000 USD",2025-04-08
F-1150,Ellsworth Real Estate Fund III,Ellsworth Group,Real Estate,2015,"$5,000,000.25 USD",2026-05-08
F-1151,Ashford Growth Equity Fund IV,Ashford Management,Growth Equity,2017,"$40,000,000 USD",2025-01-25
F-1152,Vantage Growth Equity Fund IX,Vantage Group,Growth Equity,2013,"$7,500,000 USD",2026-06-08
F-1153,Longleaf Infrastructure Fund III,Longleaf Holdings,Infrastructure,2015,"$40,000,000 USD",2025-07-08
F-1154,Cardinal Buyout Fund III,Cardinal Partners,Buyout,2021,"$5,000,000 USD",2025-04-15
F-1155,Blackwater Growth Equity Fund VII,Blackwater Ventures,Growth Equity,2021,Not reported,2025-04-01
F-1156,Cardinal Real Estate Fund V,Cardinal Partners,Real Estate,2019,"$750,000 USD",2026-08-19
F-1157,Bellamy Private Credit Fund VII,Bellamy Group,Private Credit,2018,"$15,000,000 USD",2025-09-22
F-1158,Longleaf Private Credit Fund VIII,Longleaf Holdings,Private Credit,2009,"$10,000,000 USD",2026-06-26
F-1159,Carrick Venture Capital Fund I,Carrick Management,Venture Capital,2016,"¥1,875,000,000 JPY",2026-01-04
F-1160,Ridgeline Secondaries Fund I,Ridgeline Holdings,Secondaries,2012,"$2,500,000 USD",2025-05-05
F-1161,Longleaf Buyout Fund V,Longleaf Holdings,Buyout,2013,"$5,000,000 USD",2026-04-28
F-1162,Granite Peak Real Estate Fund XII,Granite Peak Partners,Real Estate,2012,"$50,000,000 USD",2025-11-06
F-1163,Sable Creek Fund of Funds Fund VI,Sable Creek Advisors,Fund of Funds,2023,"$1,250,000 USD",2025-05-12
F-1164,Halcyon Venture Capital Fund X,Halcyon Group,Venture Capital,2022,"¥75,000,000 JPY",2025-01-20
F-1165,Tidewater Fund of Funds Fund IX,Tidewater Partners,Fund of Funds,2015,,2025-06-10
F-1166,Tidewater Infrastructure Fund V,Tidewater Partners,Infrastructure,2009,"$10,000,000 USD",2025-10-05
F-1167,Bellamy Buyout Fund III,Bellamy Group,Buyout,2020,"USD 250,000",2026-04-01
F-1168,Longleaf Venture Capital Fund IV,Longleaf Holdings,Venture Capital,2024,"  $1,250,000 USD  ",2025-04-15
F-1169,Meridian Growth Equity Fund VII,Meridian Equity,Growth Equity,2019,"$1,250,000 USD",2026-04-13
F-1170,Granite Peak Growth Equity Fund XI,Granite Peak Partners,Growth Equity,2025,"$15,000,000 USD",2026-04-25
F-1171,Orchard Hill Growth Equity Fund XI,Orchard Hill Group,Growth Equity,2013,"$2,500,000 USD",2025-05-02
F-1172,Blackwater Venture Capital Fund I,Blackwater Ventures,Venture Capital,2025,"$12,500,000 USD",2025-04-13
F-1173,Halcyon Venture Capital Fund VI,Halcyon Group,Venture Capital,2010,"$1,000,000 USD",2026-01-22
F-1174,Yarrow Growth Equity Fund I,Yarrow Equity,Growth Equity,2025,1000000 USD,2025-06-26
F-1175,Sable Creek Venture Capital Fund XII,Sable Creek Advisors,Venture Capital,2009,"¥1,875,000,000 JPY",2025-04-26
F-1176,Vantage Buyout Fund III,Vantage Group,Buyout,2018,"$20,000,000 USD",2026-06-11
F-1177,Halcyon Secondaries Fund XII,Halcyon Group,Secondaries,2013,"¥112,500,000 JPY",2025-09-23
F-1178,Fenwick Venture Capital Fund V,Fenwick Holdings,Venture Capital,2022,"$1,250,000 USD",2026-04-22
F-1179,Vesper Venture Capital Fund VIII,Vesper Ventures,Venture Capital,2013,"$750,000 USD",2025-08-13
F-1180,Copperline Venture Capital Fund VI,Copperline Group,Venture Capital,2023,"£10,000,000 GBP",2025-04-18
F-1181,Dunmore Private Credit Fund X,Dunmore Advisors,Private Credit,2022,"£7,500,000 GBP",2025-05-28
F-1182,Meridian Buyout Fund VIII,Meridian Equity,Buyout,2020,"€500,000 EUR",2025-08-03
F-1183,Yarrow Venture Capital Fund I,Yarrow Equity,Venture Capital,2019,"£5,000,000 GBP",2026-02-14
F-1184,Fenwick Infrastructure Fund VI,Fenwick Holdings,Infrastructure,2009,"$5,000,000 USD",2026-06-26
F-1185,Cardinal Venture Capital Fund VIII,Cardinal Partners,Venture Capital,2009,"$3,000,000 USD",2025-05-25
F-1186,Granite Peak Growth Equity Fund III,Granite Peak Partners,Growth Equity,2015,"$5,000,000 USD",2025-10-27
F-1187,Tidewater Growth Equity Fund IV,Tidewater Partners,Growth Equity,2017,"$1,000,000 USD",2025-10-23
F-1188,Quarry Lane Venture Capital Fund I,Quarry Lane Holdings,Venture Capital,2009,"$750,000.75 USD",2025-01-18
F-1189,Granite Peak Infrastructure Fund II,Granite Peak Partners,Infrastructure,2010,"$50,000,000 USD",2026-03-05
F-1190,Tidewater Venture Capital Fund IV,Tidewater Partners,Venture Capital,2021,"£5,000,000 GBP",2026-08-16
F-1191,Ashford Private Credit Fund X,Ashford Management,Private Credit,2024,"$250,000 USD",2026-06-27
F-1192,Ashford Venture Capital Fund XII,Ashford Management,Venture Capital,2018,"$10,000,000 USD",2025-12-26
F-1193,Aldergrove Growth Equity Fund IX,Aldergrove Capital,Growth Equity,2009,"$2,000,000 USD",2026-07-10
F-1194,Fairhaven Venture Capital Fund VIII,Fairhaven Ventures,Venture Capital,2025,"$1,250,000 USD",2025-05-27
F-1195,Aldergrove Infrastructure Fund III,Aldergrove Capital,Infrastructure,2017,"$50,000,000 usd",2026-06-24
F-1196,Redstone Real Estate Fund VI,Redstone Advisors,Real Estate,2024,"~$5,000,000 USD",2026-04-05
F-1197,Tidewater Growth Equity Fund VIII,Tidewater Partners,Growth Equity,2010,500000 USD,2026-04-26
F-1198,Sycamore Real Estate Fund VIII,Sycamore Advisors,Real Estate,2024,"$12,500,000 USD",2026-03-12
F-1199,Halcyon Secondaries Fund IV,Halcyon Group,Secondaries,2023,"$25,000,000 USD",2026-05-22
F-1200,Redstone Secondaries Fund I,Redstone Advisors,Secondaries,2013,"$5,000,000 USD",2026-05-04
F-1201,Fairhaven Infrastructure Fund VIII,Fairhaven Ventures,Infrastructure,2009,"$1,000,000 USD",2025-07-15
F-1202,Orchard Hill Venture Capital Fund I,Orchard Hill Group,Venture Capital,2012,"$2,500,000 USD",2025-07-27
F-1203,Yarrow Growth Equity Fund II,Yarrow Equity,Growth Equity,2022,"$7,500,000 USD",2025-01-12
F-1204,Yarrow Infrastructure Fund II,Yarrow Equity,Infrastructure,2020,"USD 1,250,000",2025-04-11
F-1205,Vesper Fund of Funds Fund XII,Vesper Ventures,Fund of Funds,2022,"$5,000,000 USD",2025-06-22
F-1206,Vesper Buyout Fund VII,Vesper Ventures,Buyout,2014,"$250,000 USD",2026-08-18
F-1207,Kestrel Fund of Funds Fund VI,Kestrel Equity,Fund of Funds,2014,"$2,000,000 USD",2025-08-19
F-1208,Marlowe Growth Equity Fund III,Marlowe Ventures,Growth Equity,2024,"$5,000,000 USD",2025-06-07
F-1209,Brightwater Secondaries Fund III,Brightwater Equity,Secondaries,2012,"¥1,125,000,000 JPY",2025-05-20
F-1210,Sycamore Buyout Fund IV,Sycamore Advisors,Buyout,2021,"USD 500,000",2025-06-28
F-1211,Brightwater Secondaries Fund VI,Brightwater Equity,Secondaries,2023,"$1,000,000 USD",2026-03-16
F-1212,Bellamy Secondaries Fund VI,Bellamy Group,Secondaries,2018,"$12,500,000 USD",2026-03-10
F-1213,Ironwood Growth Equity Fund IX,Ironwood Ventures,Growth Equity,2015,"$500,000 USD",2025-10-17
F-1214,Tidewater Fund of Funds Fund II,Tidewater Partners,Fund of Funds,2024,"€5,000,000 EUR",2026-05-02
F-1215,Belmont Private Credit Fund V,Belmont Capital,Private Credit,2020,"$7,500,000 USD",2025-12-20
F-1216,Underwood Fund of Funds Fund X,Underwood Partners,Fund of Funds,2010,"$1,500,000 USD",2025-04-05
F-1217,Ashford Infrastructure Fund VIII,Ashford Management,Infrastructure,2017,"$2,500,000 USD",2025-12-27
F-1218,Ellsworth Private Credit Fund VII,Ellsworth Group,Private Credit,2022,,2026-05-05
F-1219,Kestrel Infrastructure Fund IV,Kestrel Equity,Infrastructure,2010,"$2,500,000 USD",2025-07-14
F-1220,Blackwater Infrastructure Fund II,Blackwater Ventures,Infrastructure,2020,"$2,000,000 USD",2025-09-25
F-1221,Foxglove Real Estate Fund VIII,Foxglove Equity,Real Estate,2023,"$2,000,000 USD",2025-03-16
F-1222,Tidewater Venture Capital Fund X,Tidewater Partners,Venture Capital,2019,"~$15,000,000 USD",2025-04-28
F-1223,Underwood Growth Equity Fund XI,Underwood Partners,Growth Equity,2013,"$12,500,000 USD",2026-03-05
F-1224,Silverthorn Growth Equity Fund XII,Silverthorn Ventures,Growth Equity,2015,"$7,500,000 USD",2025-05-21
F-1225,Vesper Secondaries Fund XII,Vesper Ventures,Secondaries,2010,"$12,500,000 USD",2025-03-14
F-1226,Halcyon Buyout Fund XII,Halcyon Group,Buyout,2009,"¥112,500,000 JPY",2025-03-09
F-1227,Windrow Buyout Fund V,Windrow Management,Buyout,2025,"$500,000 USD",2026-06-16
F-1228,Copperline Fund of Funds Fund VI,Copperline Group,Fund of Funds,2014,"€25,000,000 EUR",2026-08-13
F-1229,Underwood Buyout Fund I,Underwood Partners,Buyout,2023,5000000 USD,2026-05-08
F-1230,Orchard Hill Secondaries Fund I,Orchard Hill Group,Secondaries,2023,"$750,000 USD",2026-04-24
F-1231,Foxglove Infrastructure Fund VIII,Foxglove Equity,Infrastructure,2017,"$40,000,000 USD",2026-07-24
F-1232,Blackwater Fund of Funds Fund X,Blackwater Ventures,Fund of Funds,2024,"$2,000,000 USD",2025-08-04
F-1233,Brightwater Secondaries Fund III,Brightwater Equity,Secondaries,2023,"$1,250,000 USD",2025-06-07
F-1234,Sable Creek Venture Capital Fund III,Sable Creek Advisors,Venture Capital,2008,"$5,000,000 USD",2025-02-02
F-1235,Wren Hollow Venture Capital Fund IV,Wren Hollow Capital,Venture Capital,2019,"$3,000,000",2026-07-22
F-1236,Longleaf Growth Equity Fund VII,Longleaf Holdings,Growth Equity,2011,,2026-04-22
F-1237,Ellsworth Private Credit Fund V,Ellsworth Group,Private Credit,2009,"$250,000 USD",2026-03-22
F-1238,Silverthorn Venture Capital Fund III,Silverthorn Ventures,Venture Capital,2008,"$5,000,000 USD",2025-07-01
F-1239,Cardinal Infrastructure Fund X,Cardinal Partners,Infrastructure,2022,"$1,000,000 usd",2025-10-05
F-1240,Longleaf Buyout Fund VI,Longleaf Holdings,Buyout,2011,"$750,000 USD",2025-12-01
F-1241,Wren Hollow Growth Equity Fund III,Wren Hollow Capital,Growth Equity,2015,"$1,000,000 USD",2025-03-21
